scan,t,tau,beta,c,y0,dtau,dbeta,dc,dy0,ID_sample,T,d,E,Q,cooling,fresh,test,att
GeO2_7_30C_0004_0004,288.35785000000004,6.142431722700492,0.7036677437432697,0.0301852306273888,1.0026628664027122,0.7910228800584956,0.0752811029722112,0.001041300647531,0.0007680930299676,7,30,100,9.7,0.19,True,,,
GeO2_7_310C_0001_0003,865.07465,4.758402243362918,0.7928432916851125,0.0243355968864744,1.0027035553446657,0.4450620453334654,0.0700486470189995,0.0006284193558361,0.0004589728483121,7,310,100,9.7,0.19,,,,
GeO2_7_345C_0001_0003,1730.14985,4.11088625504281,0.6912350869594471,0.0253030268543336,1.0025184687624935,0.1278484669924094,0.0186735400750493,0.0002035631424186,0.0001347103525846,7,345,100,9.7,0.19,,,,
GeO2_7_380C_0001_0003,1730.14985,3.602973321484364,0.6766264179309389,0.0247792747928848,1.002497743857574,0.3195194952760009,0.0516972342006333,0.0005687520825809,0.0003666675320737,7,380,100,9.7,0.19,,,,
GeO2_7_415C_0001_0003,1730.14985,3.7530363430099953,0.7781669015030777,0.0231215255787763,1.0026570517307456,0.2682997548959865,0.0536657093371581,0.0004400461580416,0.000296988652418,7,415,100,9.7,0.19,,,,
GeO2_7_450C_0001_0003,1730.14985,4.021923475254921,0.7330100826999754,0.0230472644744247,1.0026225250114975,0.3432376323000201,0.0580817988288996,0.0005026862664934,0.0003229310874633,7,450,100,9.7,0.19,,,,
GeO2_7_485C_0001_0003,1730.14985,4.826393031824895,0.7287429592395085,0.0223189604396782,1.0026304431606912,0.3322558802258465,0.0458843836441677,0.0003897713256285,0.0002561590082116,7,485,100,9.7,0.19,,,,
GeO2_7_520C_0001_0004,64.2,3.77054425588398,0.6359452979870222,0.0243841838806262,1.0024593335970025,0.6702303147824127,0.0681962232978285,0.0022765171818187,0.0001085260886439,7,520,100,9.7,0.19,,,,
GeO2_7_520C_0001_0005,3460.30025,3.427917680141795,0.7521971179296536,0.0215498489795698,1.0026189266350445,0.2476628212593905,0.0525830550586927,0.0003949729919242,0.0002406089992528,7,520,100,9.7,0.19,,True,,
GeO2_7_520C_0002_0004,576.7162500000001,1.8014617785289957,0.0030100355101363,2.7531372697435708,7.464846647155018e-08,15145.246505950056,8.035649954334167,7349.344793790167,2722.089417210956,7,520,100,9.7,0.19,True,,,
GeO2_7_555C_0001_0004,3460.30025,2.6589658516168706,0.5919886711947053,0.0240858103739839,1.0024201730889246,0.140829796991963,0.0255941800130757,0.0003195416233741,0.0001686608204854,7,555,100,9.7,0.19,,True,,
GeO2_7_590C_0001_0004,3460.30025,2.7826586598411507,0.6016028177725222,0.0236331285451433,1.0024307345832992,0.267922959574586,0.0477171058610418,0.0005684169135308,0.0003050872122098,7,590,100,9.7,0.19,,,,
GeO2_7_625C_0001_0004,4613.7338500000005,1.7568326760274442,0.7229560859630433,0.0219408094443154,1.0025203330407615,0.0466806241909108,0.0187686753113105,0.0001517578716407,7.924743094216074e-05,7,625,100,9.7,0.19,,,,
GeO2_7_660C_0001_0004,5767.16745,1.0105274982985957,0.6430583894334525,0.0224593486222503,1.0024734875096506,0.0442010246206951,0.0257966932119659,0.000270945783381,0.0001238403332283,7,660,100,9.7,0.19,,,,
GeO2_7_660C_0001_0007,865.07465,0.7397170285085031,0.5222103048018268,0.0230927919388769,1.0024354448444228,0.0987023716163794,0.0549177407228263,0.0008978073028982,0.0003590817721647,7,660,100,9.7,0.19,,True,,
GeO2_7_660C_0001_0009,865.07465,0.909875010771446,0.8077892605446149,0.0211334733963482,1.0025642172518776,0.0492420041608567,0.0471044257590691,0.0003306109041817,0.0001818208146528,7,660,100,9.7,0.19,,True,,
GeO2_7_660C_0001_0012,865.07465,0.858890732246958,0.5833877414231912,0.0230660929224905,1.0024700402948827,0.0530949869675965,0.0306532451630068,0.0004081397340934,0.0001843969521685,7,660,100,9.7,0.19,,True,,
GeO2_7_660C_0002_0004,34.8,0.676171938894556,0.7474167586632304,0.0195685584885806,1.0024471226673664,0.1494065856703032,0.1176184760283057,0.0024916403644643,5.920655251511262e-05,7,660,100,9.7,0.19,True,,,
GeO2_7_695C_0001_0004,6920.60105,0.5682184605734732,0.6439338147589883,0.0217596215209533,1.002491988940888,0.0252455271786599,0.0271061242311576,0.0002861985706263,0.0001145503412459,7,695,100,9.7,0.19,,,,
GeO2_7_730C_0001_0004,720.8954500000001,0.2929877312986791,0.6587360774950405,0.0218027441391872,1.0024926267168972,0.0230037586260607,0.0506570080139913,0.0005722851018829,0.0002348055157296,7,730,100,9.7,0.19,,True,,
