scan,ID_sample,T,ch2,I_ch2,initial_I,E,theta,fresh,ramp,test,att
GeO2_3_695C_0001_0004, 3, 695,4.6134e-6,195.18643,194.443554, 9.7, 0.19,,heating,,
GeO2_3_695C_0001_0005, 3, 695,4.6807e-6,195.18643,196.59944, 9.7, 0.19,,heating,,
GeO2_3_695C_0001_0006, 3, 695,4.7123e-6,195.18643,198.531289, 9.7, 0.19,,heating,,
GeO2_3_695C_0001_0007, 3, 695,4.7261e-6,195.18643,193.222211, 9.7, 0.19,,heating,,
"GeO2_3_730C_0001_range(4, 8)", 3, 730,,,, 9.7, 0.19,,heating,,
GeO2_3_730C_0001_0004, 3, 730,4.8671e-6,199.65727,199.65727, 9.7, 0.19,,heating,,
GeO2_3_730C_0001_0005, 3, 730,4.9156e-6,199.65727,195.614402, 9.7, 0.19,,heating,,
GeO2_3_730C_0001_0006, 3, 730,4.9519e-6,199.65727,198.736115, 9.7, 0.19,,heating,,
GeO2_3_730C_0001_0007, 3, 730,4.9362e-6,199.65727,194.734427, 9.7, 0.19,,heating,,
GeO2_3_730C_0001_0008, 3, 730,4.8037e-6,193.141782,198.095944, 9.7, 0.19,,heating,,
# GeO2_3 Q dependence
GeO2_3_730C_0001_0004,   3, 730, 0,,, 9.7, 0.19,,,,
GeO2_3_730C_Q_0001_0004, 3, 730, 0,,, 9.7, 0.13,,,,
GeO2_3_730C_Q_0001_0005, 3, 730, 0,,, 9.7, 0.29,,,,
#GeO2_3_730C_Q_0001_0006, 3, 730, 0, 9.7, 0.38,,,,
#GeO2_3_730C_Q_0001_0007, 3, 730, 0, 9.7, 0.46,,,,
# GeO2_3 attenuators
"GeO2_3_730C_att2_0001_range(4, 8)", 3, 730, 100,,, 9.7, 0.19,,,,.5
