scan,Q,dQ,tau,dtau,dtau%,beta,dbeta,dbeta%,c,dc,dc%,y0,dy0,dy%,redchi2,ID_sample,T,ch2,I_ch2,initial_I,E,theta,fresh,ramp,test,att
GeO2_3_380C_0001_0004,0.2,0.02,2.9575098542421308,0.0557275196226709,1.8842716463898728,0.7259321717119798,0.009764477316794,1.3450949961022256,0.0267117686151266,0.0002867793325906,1.0736066814693066,1.0013141441085518,1.354257949407858e-05,0.001352480595002,1.3165266912356195,3.0,380.0,4.817e-06,196.590422,195.539853,9.7,0.19,,heating,,
GeO2_3_380C_0001_0004,0.21,0.01,2.7868216484859736,0.0852009949247337,3.057281938764248,0.6910634890210579,0.0133474265239752,1.9314327461985936,0.0274757554048378,0.0004536623497459,1.6511369498729107,1.0012279418667156,4.510042504668636e-06,0.0004504511226744,1.4862650792351997,3.0,380.0,4.817e-06,196.590422,195.539853,9.7,0.19,,heating,,
GeO2_3_415C_0001_0004,0.2,0.02,2.8404325373760835,0.0639371459724622,2.250965130526411,0.6927720853703525,0.0114529333874808,1.6532036479729344,0.0265974554391766,0.0003460046312199,1.3008937340310156,1.0014358741947025,2.767383353066537e-05,0.0027634154361525,1.5673325531545912,3.0,415.0,4.778e-06,194.840859,193.796389,9.7,0.19,,heating,,
GeO2_3_415C_0001_0004,0.21,0.01,2.7981098944081046,0.0810526572820255,2.896693137178263,0.7027759583421231,0.0150860746238767,2.146640681827729,0.0263732834454659,0.0004431400540532,1.6802612195390136,1.0015074077240171,3.428191873515187e-05,0.003423031968686,1.2727464078388304,3.0,415.0,4.778e-06,194.840859,193.796389,9.7,0.19,,heating,,
GeO2_3_450C_0001_0004,0.2,0.02,3.76276703646504,0.0883608091665415,2.348293378522652,0.6515724034612383,0.0097926733462964,1.5029294203186696,0.0258277953532066,0.000327386794332,1.2675754544857116,1.0013926622175489,1.8913115389517616e-05,0.0018886812439423,1.7371945235476425,3.0,450.0,4.742e-06,193.365114,199.569091,9.7,0.19,,heating,,
GeO2_3_450C_0001_0004,0.21,0.01,3.6443844757912034,0.1097465613545073,3.0113881255813757,0.6556289877993423,0.0126225587736208,1.9252594086770327,0.0257382475098855,0.0004189919525948,1.6278961978042548,1.0014350664462006,2.3113060663589268e-05,0.0023079939416951,1.362021436150237,3.0,450.0,4.742e-06,193.365114,199.569091,9.7,0.19,,heating,,
GeO2_3_485C_0001_0004,0.2,0.02,4.781838444199669,0.0787149575764727,1.6461233162729143,0.6774662099310542,0.0077618748784494,1.145721331140537,0.0247138726843756,0.0002288798703968,0.926118999316136,1.001426377767264,1.6175840435626593e-05,0.0016152800440199,1.081600457538073,3.0,485.0,4.899e-06,198.758586,197.669256,9.7,0.19,,heating,,
GeO2_3_485C_0001_0004,0.21,0.01,4.56985500342004,0.1027650306398417,2.2487591086135845,0.6739720933424296,0.0103867840326022,1.5411296899684823,0.0247602935533075,0.0003110905929456,1.256409146668049,1.001439167933495,2.098863987466925e-05,0.0020958477106482,0.919618017031792,3.0,485.0,4.899e-06,198.758586,197.669256,9.7,0.19,,heating,,
GeO2_3_520C_0001_0004,0.2,0.02,4.353529516278606,0.0781329842403368,1.7947043645433889,0.6775159137213954,0.0082973388594319,1.2246706964943608,0.0247436072193252,0.0002473130545016,0.9995028304059916,1.0014125088448824,1.5705675397816467e-05,0.0015683522283871,2.26313191748616,3.0,520.0,4.881e-06,197.028841,195.959736,9.7,0.19,,heating,,
GeO2_3_520C_0001_0004,0.21,0.01,4.230069332621654,0.0918886300109133,2.1722724330374943,0.6786222678808564,0.0100039595156668,1.4741572726321432,0.0246859165677843,0.000298174818429,1.2078742047527884,1.001429910317209,1.8357130127346223e-05,0.0018330918557776,1.5520996626432393,3.0,520.0,4.881e-06,197.028841,195.959736,9.7,0.19,,heating,,
